SiteCode,SiteName,SiteEngName,AreaName,County,Township,SiteAddress,TWD97Lon,TWD97Lat,SiteType
22,湖口,Hukou,竹苗空品區,新竹縣,湖口鄉,新竹縣湖口鄉成功路360號,121.0386530000,24.9001420000,一般測站
71,復興,Fuxing,高屏空品區,高雄市,前鎮區,高雄市前鎮區民權二路331號,120.3120170000,22.6087110000,交通測站
83,麥寮,Mailiao,雲嘉南空品區,雲林縣,麥寮鄉,雲林縣麥寮鄉中興路115號,120.2518250000,23.7535060000,工業測站
10,淡水,Tamsui,北部空品區,新北市,淡水區,新北市淡水區中正東路42巷6號,121.4492390000,25.1645000000,一般測站
38,崙背,Lunbei,雲嘉南空品區,雲林縣,崙背鄉,雲林縣崙背鄉南陽村大成路91號,120.3487420000,23.7575470000,一般測站
1,基隆,Keelung,北部空品區,基隆市,信義區,基隆市東信路324號,121.7600560000,25.1291670000,一般測站
75,馬祖,Matsu,其他,連江縣,南竿鄉,連江縣南竿鄉介壽村13號,119.9498750000,26.1604690000,一般測站
78,馬公,Magong,其他,澎湖縣,馬公市,澎湖縣馬公市中正路115號,119.5661580000,23.5690310000,一般測站
17,桃園,Taoyuan,北部空品區,桃園市,桃園區,桃園市桃園區成功路二段144號,121.3199640000,24.9947890000,一般測站
72,埔里,Puli,中部空品區,南投縣,埔里鎮,南投縣埔里鎮西安路一段193號,120.9679030000,23.9688420000,其它測站
26,苗栗,Miaoli,竹苗空品區,苗栗縣,苗栗市,苗栗市縣府路100號,120.8202000000,24.5652690000,一般測站
47,美濃,Meinong,高屏空品區,高雄市,美濃區,高雄市美濃區中壇里忠孝路19號,120.5305420000,22.8835830000,一般測站
61,恆春,Hengchun,高屏空品區,屏東縣,恆春鎮,屏東縣恆春鎮公園路44號,120.7889280000,21.9580690000,一般測站
59,屏東,Pingtung,高屏空品區,屏東縣,屏東市,屏東市蘇州街75號,120.4880330000,22.6730810000,一般測站
36,南投,Nantou,中部空品區,南投縣,南投市,南投市南陽路269號,120.6853060000,23.9130000000,一般測站
57,前鎮,Qianzhen,高屏空品區,高雄市,前鎮區,高雄市前鎮區中山三路43號,120.3075640000,22.6053860000,工業測站
56,前金,Qianjin,高屏空品區,高雄市,前金區,高雄市前金區河南二路196號,120.2880860000,22.6325670000,一般測站
77,金門,Kinmen,其他,金門縣,金城鎮,金門縣金城鎮民權路32號,118.3122560000,24.4321330000,一般測站
63,花蓮,Hualien,花東空品區,花蓮縣,花蓮市,花蓮市中正路210號,121.5997690000,23.9713060000,一般測站
15,松山,Songshan,北部空品區,臺北市,松山區,臺北市松山區八德路四段746號,121.5786110000,25.0500000000,一般測站
6,板橋,Banqiao,北部空品區,新北市,板橋區,新北市板橋區文化路一段25號,121.4586670000,25.0129720000,一般測站
52,林園,Linyuan,高屏空品區,高雄市,林園區,高雄市林園區北汕路58巷2號,120.4117500000,22.4795000000,一般測站
9,林口,Linkou,北部空品區,新北市,林口區,新北市林口區民治路25號,121.3768690000,25.0771970000,一般測站
31,忠明,Zhongming,中部空品區,臺中市,南屯區,臺中市南屯區公益路二段296號,120.6410920000,24.1519580000,一般測站
65,宜蘭,Yilan,宜蘭空品區,宜蘭縣,宜蘭市,宜蘭縣宜蘭市復興路二段77號,121.7463940000,24.7479170000,一般測站
29,沙鹿,Shalu,中部空品區,臺中市,沙鹿區,臺中市沙鹿區英才路150號,120.5687940000,24.2256280000,一般測站
32,西屯,Xitun,中部空品區,臺中市,西屯區,臺中市西屯區安和路1號,120.6169170000,24.1621970000,一般測站
23,竹東,Zhudong,竹苗空品區,新竹縣,竹東鎮,新竹縣竹東鎮榮樂里三民街70號,121.0889030000,24.7406440000,一般測站
69,竹山,Zhushan,中部空品區,南投縣,竹山鎮,南投縣竹山鎮大明路666號,120.6773060000,23.7563890000,一般測站
2,汐止,Xizhi,北部空品區,新北市,汐止區,新北市汐止區樟樹一路141巷2號,121.6423000000,25.0671310000,一般測站
40,朴子,Puzi,雲嘉南空品區,嘉義縣,朴子市,嘉義縣朴子市光復路34號,120.2473500000,23.4653080000,一般測站
45,安南,Annan,雲嘉南空品區,臺南市,安南區,臺南市安南區安和路三段193號,120.2175000000,23.0481970000,一般測站
70,永和,Yonghe,北部空品區,新北市,永和區,新北市永和區永和路光復路交口,121.5163060000,25.0170000000,交通測站
20,平鎮,Pingzhen,北部空品區,桃園市,平鎮區,桃園市平鎮區文化街189號,121.2039860000,24.9527860000,一般測站
54,左營,Zuoying,高屏空品區,高雄市,左營區,高雄市左營區翠華路687號,120.2929170000,22.6748610000,一般測站
14,古亭,Guting,北部空品區,臺北市,大安區,臺北市大安區羅斯福路三段153號,121.5295560000,25.0206080000,一般測站
66,冬山,Dongshan,宜蘭空品區,宜蘭縣,冬山鄉,宜蘭縣冬山鄉南興村照安路26號,121.7929280000,24.6322030000,一般測站
37,斗六,Douliu,雲嘉南空品區,雲林縣,斗六市,雲林縣斗六市民生路224號,120.5449940000,23.7118530000,一般測站
49,仁武,Renwu,高屏空品區,高雄市,仁武區,高雄市仁武區八卦里永仁街555號,120.3326310000,22.6890560000,一般測站
68,中壢,Zhongli,北部空品區,桃園市,中壢區,桃園市中壢區延平路622號,121.2216670000,24.9532780000,交通測站
12,中山,Zhongshan,北部空品區,臺北市,中山區,臺北市中山區林森北路511號,121.5265280000,25.0623610000,一般測站
58,小港,Xiaogang,高屏空品區,高雄市,小港區,高雄市小港區平和南路185號,120.3377360000,22.5658330000,一般測站
51,大寮,Daliao,高屏空品區,高雄市,大寮區,高雄市大寮區潮寮路61號,120.4250810000,22.5657470000,一般測站
18,大園,Dayuan,北部空品區,桃園市,大園區,桃園市大園區中正東路160號,121.2018110000,25.0603440000,一般測站
30,大里,Dali,中部空品區,臺中市,大里區,臺中市大里區大新街36號,120.6776890000,24.0996110000,一般測站
16,大同,Datong,北部空品區,臺北市,大同區,臺北市大同區重慶北路三段2號,121.5133110000,25.0632000000,交通測站
11,士林,Shilin,北部空品區,臺北市,北投區,臺北市北投區文林北路155號,121.5153890000,25.1054170000,一般測站
5,土城,Tucheng,北部空品區,新北市,土城區,新北市土城區學府路一段241號,121.4518610000,24.9825280000,一般測站
27,三義,Sanyi,竹苗空品區,苗栗縣,三義鄉,苗栗縣三義鄉西湖村上湖61-1號,120.7588330000,24.3829420000,一般測站
67,三重,Sanchong,北部空品區,新北市,三重區,新北市三重區三和路重陽路交口,121.4938060000,25.0726110000,交通測站
35,二林,Erlin,中部空品區,彰化縣,二林鎮,彰化縣二林鎮萬合里江山巷1號,120.4096530000,23.9251750000,一般測站
