SiteCode,SiteName,SiteEngName,AreaName,County,Township,SiteAddress,TWD97Lon,TWD97Lat,SiteType
62,臺東,Taitung,花東空品區,臺東縣,臺東市,臺東市中山路276號,121.1504500000,22.7553580000,一般測站
46,臺南,Tainan,雲嘉南空品區,臺南市,中西區,臺南市中西區南寧街45號,120.2026170000,22.9845810000,一般測站
41,臺西,Taixi,雲嘉南空品區,雲林縣,臺西鄉,雲林縣臺西鄉五港路505號,120.2028420000,23.7175330000,工業測站
19,觀音,Guanyin,北部空品區,桃園市,觀音區,桃園市觀音區文化路2號,121.0827610000,25.0355030000,背景測站
80,關山,Guanshan,花東空品區,臺東縣,關山鎮,臺東縣關山鎮自強路66號,121.1619330000,23.0450830000,其它測站
28,豐原,Fengyuan,中部空品區,臺中市,豐原區,臺中市豐原區水源路150號,120.7417110000,24.2565860000,一般測站
21,龍潭,Longtan,北部空品區,桃園市,龍潭區,桃園市龍潭區中正路210號,121.2163500000,24.8638690000,一般測站
25,頭份,Toufen,竹苗空品區,苗栗縣,頭份鎮,苗栗縣頭份鎮文化街20號,120.8985720000,24.6969690000,工業測站
48,橋頭,Qiaotou,高屏空品區,高雄市,橋頭區,高雄市橋頭區隆豐北路1號,120.3056890000,22.7575060000,背景測站
34,線西,Xianxi,中部空品區,彰化縣,線西鄉,彰化縣線西鄉寓埔村中央路二段145號,120.4690610000,24.1316720000,工業測站
60,潮州,Chaozhou,高屏空品區,屏東縣,潮州鎮,屏東縣潮州鎮九塊里復興路66號,120.5611750000,22.5231080000,一般測站
50,鳳山,Fengshan,高屏空品區,高雄市,鳳山區,高雄市鳳山區曹公路6號,120.3580830000,22.6273920000,交通測站
33,彰化,Changhua,中部空品區,彰化縣,彰化市,彰化縣彰化市文心街55號,120.5415190000,24.0660000000,一般測站
42,嘉義,Chiayi,雲嘉南空品區,嘉義市,西區,嘉義市西區新民路580號,120.4408330000,23.4627780000,一般測站
13,萬華,Wanhua,北部空品區,臺北市,萬華區,臺北市萬華區中華路1段66號,121.5079720000,25.0465030000,一般測站
3,萬里,Wanli,北部空品區,新北市,萬里區,新北市萬里區瑪鋉路221號,121.6898810000,25.1796670000,一般測站
53,楠梓,Nanzi,高屏空品區,高雄市,楠梓區,高雄市楠梓區楠梓路262號,120.3282890000,22.7336670000,一般測站
43,新營,Xinying,雲嘉南空品區,臺南市,新營區,臺南市新營區中正路4號,120.3172500000,23.3056330000,一般測站
39,新港,Xingang,雲嘉南空品區,嘉義縣,新港鄉,嘉義縣新港鄉登雲路105號,120.3455310000,23.5548390000,一般測站
7,新莊,Xinzhuang,北部空品區,新北市,新莊區,新北市新莊區中正路510號,121.4325000000,25.0379720000,一般測站
4,新店,Xindian,北部空品區,新北市,新店區,新北市新店區民族路108號,121.5377780000,24.9772220000,一般測站
24,新竹,Hsinchu,竹苗空品區,新竹市,東區,新竹市民族路33號,120.9720750000,24.8056190000,一般測站
64,陽明,Yangming,北部空品區,臺北市,北投區,臺北市北投區竹子湖路111號,121.5295830000,25.1827220000,公園測站
8,菜寮,Cailiao,北部空品區,新北市,三重區,新北市三重區中正北路163號,121.4810280000,25.0689500000,一般測站
44,善化,Shanhua,雲嘉南空品區,臺南市,善化區,臺南市善化區益名寮60號,120.2971420000,23.1150970000,一般測站
